epoch,accuracy,loss,val_accuracy,val_loss
0,0.3700525760650635,1.3275662660598755,0.4438040256500244,1.2848082780838013
1,0.6573484539985657,0.9808998107910156,0.6599423885345459,0.9071996212005615
2,0.7951840758323669,0.5824087858200073,0.7146974205970764,0.756028950214386
3,0.8461112380027771,0.4210050702095032,0.7233429551124573,0.7726535201072693
4,0.8801549673080444,0.3295567035675049,0.7002881765365601,0.8096452355384827
5,0.8998062610626221,0.27540138363838196,0.7146974205970764,0.8480862975120544
6,0.9202878475189209,0.22686314582824707,0.7118155360221863,0.8914219737052917
7,0.9371713399887085,0.19212937355041504,0.6974063515663147,0.9418522119522095
8,0.9510102272033691,0.15938355028629303,0.7002881765365601,0.9834576845169067
9,0.9582064747810364,0.13745783269405365,0.6974063515663147,1.0645802021026611
10,0.9631884694099426,0.12562088668346405,0.6916426420211792,1.1131278276443481
11,0.9662330746650696,0.11368150264024734,0.680115282535553,1.221846103668213
12,0.9695543646812439,0.10745289921760559,0.6916426420211792,1.1967307329177856
13,0.9723221659660339,0.09405744820833206,0.6916426420211792,1.2731103897094727
14,0.9723221659660339,0.08883705735206604,0.7002881765365601,1.2766892910003662
15,0.9731525182723999,0.08540501445531845,0.6945244669914246,1.3241544961929321
16,0.9739828109741211,0.08296738564968109,0.7031700015068054,1.334328293800354
17,0.974259614944458,0.07670090347528458,0.680115282535553,1.4230742454528809
18,0.9767506122589111,0.07399213314056396,0.6829971075057983,1.3803462982177734
19,0.9761970639228821,0.07074501365423203,0.680115282535553,1.452980637550354
20,0.9767506122589111,0.06587193161249161,0.680115282535553,1.4789283275604248
21,0.977027416229248,0.0640946477651596,0.6858789920806885,1.4974069595336914
22,0.977027416229248,0.06708928942680359,0.6858789920806885,1.4773740768432617
23,0.9767506122589111,0.06383033096790314,0.6887608170509338,1.5036602020263672
24,0.975643515586853,0.06541933119297028,0.680115282535553,1.529794692993164
